# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	5126
#@/user_id	be5fbefd-d5d5-4cd5-a314-d2941824e53b
chen shu 	陳述	c=1 d=1 t=3602
cheng 	成	c=2 d=0.101092 t=3750
cheng du 	程度	c=1 d=1.00018 t=3386
cheng fa 	懲罰	c=1 d=0.102767 t=4788
cheng guo 	成果	c=0 d=0.1 t=330
cheng le 	成了	c=0 d=0.1 t=3624
cheng nuo 	承諾	c=0 d=0.1 t=271
cheng xu 	程序	c=2 d=1 t=5088
chi 	喫	c=1 d=1 t=2341
chi fan qu 	喫飯去	c=0 d=0.1 t=3570
chi ge fan 	喫個飯	c=1 d=1 t=3462
chi le 	喫了	c=0 d=0.1 t=9
chi wan fan 	喫完飯	c=0 d=0.1 t=3734
chong jian 	重建	c=1 d=1 t=915
chong man 	充滿	c=1 d=1 t=1791
chong qi 	重啓	c=2 d=1.99501 t=4940
chong qi yi xia 	重啓一下	c=1 d=1 t=1733
chong xie 	重寫	c=1 d=1 t=2850
chong xin 	重新	c=3 d=1.00971 t=3866
chong xin zhu ce 	重新註冊	c=1 d=1 t=1738
chong xun 	重訓	c=1 d=1 t=4927
chong zao 	重造	c=1 d=1 t=3995
chou feng 	抽風	c=2 d=1.81058 t=3924
chu 	出	c=1 d=0.697501 t=4684
chu 	處	c=0 d=0.1 t=2857
chu cuo 	出錯	c=1 d=1 t=1954
chu lai 	出來	c=2 d=1.00837 t=3550
chu le 	出了	c=2 d=1.00048 t=3904
chu li 	處理	c=3 d=1.93723 t=4845
chu li yi xia 	處理一下	c=1 d=1 t=3224
chu men 	出門	c=1 d=1 t=2343
chu qu wan 	出去玩	c=1 d=1 t=4028
chu ru jing 	出入境	c=1 d=1 t=1189
chu shen me 	出什麼	c=1 d=1 t=1827
chu shi 	初始	c=1 d=1 t=3184
chu xian 	出現	c=0 d=0.1 t=2035
chu xian de 	出現的	c=1 d=1 t=3283
chu xian guo 	出現過	c=1 d=1 t=1110
chu xian zai 	出現在	c=1 d=1 t=2018
chu xue zhe 	初學者	c=1 d=1 t=2491
chuang jian 	創建	c=1 d=1 t=1848
chun shu 	純數	c=1 d=1 t=1474
ci ji 	刺激	c=0 d=0.1 t=3832
ci wai 	此外	c=1 d=1 t=3921
